eval_block,source_dataset,target_dataset,regime,fusion_name,component_methods,threshold_type,threshold_value_or_mode,score_normalization_rule,eligible,f1,precision,recall,fpr,roc_auc,pr_auc,best_single_method_same_tier,best_single_f1_same_tier,best_single_recall_same_tier,best_single_fpr_same_tier,delta_f1_vs_best_single,delta_recall_vs_best_single,delta_fpr_vs_best_single,interpretable_gain_type,notes
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,OR,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.022,0.014,0.0518,0.219,,,lr,0.022,0.0516,0.219,0.0,0.0002,0.0,no_material_gain,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,AND,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lr,0.022,0.0516,0.219,-0.022,-0.0516,-0.219,tradeoff_not_worth_it,
iot_to_unsw,IoT-23,UNSW-NB15,cross_domain,majority_vote,lr+xgb+lstm,fixed_fpr,frozen_binary,binary_prediction,True,0.0,0.0,0.0,0.0,,,lr,0.022,0.0516,0.219,-0.022,-0.0516,-0.219,no_material_gain,
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,OR,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.6747,0.5106,0.9942,0.6395,,,lr,0.7313,0.8031,0.264,-0.0566,0.1911,0.3755,mostly_fp_relaxation,
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,AND,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.0015,0.0046,0.0009,0.1329,,,lr,0.7313,0.8031,0.264,-0.7298,-0.8022,-0.1311,tradeoff_not_worth_it,
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,majority_vote,lr+xgb+lstm,default,frozen_binary,binary_prediction,True,0.6465,0.5411,0.8027,0.4568,,,lr,0.7313,0.8031,0.264,-0.0848,-0.0004,0.1928,mostly_fp_relaxation,
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,score_average,lr+xgb+lstm,default,0.5,raw_prob_avg_thr0.5,True,0.6491,0.5453,0.8015,0.4485,,,lr,0.7313,0.8031,0.264,-0.0822,-0.0016,0.1845,mostly_fp_relaxation,
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,OR,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.6711,0.5217,0.9402,0.5785,,,lr,0.7403,0.7819,0.2218,-0.0692,0.1583,0.3567,mostly_fp_relaxation,
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,AND,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.0,0.0001,0.0,0.0509,,,lr,0.7403,0.7819,0.2218,-0.7403,-0.7819,-0.1709,tradeoff_not_worth_it,
unsw_to_cic,UNSW-NB15,CIC-IDS2017,cross_domain,majority_vote,lr+xgb+lstm,val_tuned,frozen_binary,binary_prediction,True,0.7253,0.6778,0.7799,0.2488,,,lr,0.7403,0.7819,0.2218,-0.015,-0.002,0.027,no_material_gain,
