setting,source,target,method,threshold_type,threshold_value,f1,recall,fpr,classification,evidence_status,interpretation,notes
cross_domain,unsw,iot,xgb,val_tuned,0.829361,0.8153,0.7489,0.1176,observed_nonzero,observed_row,"F1=0.8153, Recall=0.7489, FPR=0.1176",
cross_domain,unsw,iot,xgb,fixed_fpr,0.999995,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,unsw,iot,cnn1d,default,0.5,0.7891,0.7573,0.2159,observed_nonzero,observed_row,"F1=0.7891, Recall=0.7573, FPR=0.2159",
cross_domain,unsw,iot,cnn1d,val_tuned,0.801395,0.5369,0.4179,0.1849,observed_nonzero,observed_row,"F1=0.5369, Recall=0.4179, FPR=0.1849",
cross_domain,unsw,iot,cnn1d,fixed_fpr,1.0,0.0003,0.0001,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0001 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,unsw,iot,lstm,default,0.5,0.7074,0.9249,0.9192,observed_nonzero,observed_row,"F1=0.7074, Recall=0.9249, FPR=0.9192",
cross_domain,unsw,iot,lstm,val_tuned,0.900235,0.4586,0.4581,0.7185,observed_nonzero,observed_row,"F1=0.4586, Recall=0.4581, FPR=0.7185",
cross_domain,unsw,iot,lstm,fixed_fpr,0.999905,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 0.9999 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,iot,cic,lr,default,0.5,0.0863,0.0497,0.0683,observed_nonzero,observed_row,"F1=0.0863, Recall=0.0497, FPR=0.0683",
cross_domain,iot,cic,lr,val_tuned,0.014216,0.0809,0.0501,0.1269,observed_nonzero,observed_row,"F1=0.0809, Recall=0.0501, FPR=0.1269",
cross_domain,iot,cic,lr,fixed_fpr,1.0,0.0019,0.001,0.0131,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0010 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,iot,cic,rf,default,0.5,0.0004,0.0002,0.103,observed_nonzero,observed_row,"F1=0.0004, Recall=0.0002, FPR=0.1030",
cross_domain,iot,cic,rf,val_tuned,0.95,0.0,0.0,0.0107,observed_true_zero,observed_row,Recall=0.0000 at threshold 0.9500; no attacks detected; true zero performance,
cross_domain,iot,cic,rf,fixed_fpr,1.0,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,iot,cic,xgb,default,0.5,0.0004,0.0002,0.0987,observed_nonzero,observed_row,"F1=0.0004, Recall=0.0002, FPR=0.0987",
cross_domain,iot,cic,xgb,val_tuned,0.990845,0.0004,0.0002,0.0507,degenerate_threshold,observed_row,Threshold 0.9908 near boundary; recall=0.0002 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,iot,cic,xgb,fixed_fpr,0.999967,0.0,0.0,0.0,degenerate_threshold,observed_row,Threshold 1.0000 near boundary; recall=0.0000 (near-zero); effectively all-benign prediction,degenerate threshold
cross_domain,iot,cic,cnn1d,default,0.5,0.2327,0.1655,0.1727,observed_nonzero,observed_row,"F1=0.2327, Recall=0.1655, FPR=0.1727",
cross_domain,iot,cic,cnn1d,val_tuned,0.989806,0.1867,0.1148,0.0771,observed_nonzero,observed_row,"F1=0.1867, Recall=0.1148, FPR=0.0771",
cross_domain,iot,cic,cnn1d,fixed_fpr,1.0,0.094,0.0497,0.0048,observed_nonzero,observed_row,"F1=0.0940, Recall=0.0497, FPR=0.0048",
cross_domain,iot,cic,lstm,default,0.5,0.2607,0.1914,0.186,observed_nonzero,observed_row,"F1=0.2607, Recall=0.1914, FPR=0.1860",
cross_domain,iot,cic,lstm,val_tuned,0.915208,0.2653,0.1914,0.1689,observed_nonzero,observed_row,"F1=0.2653, Recall=0.1914, FPR=0.1689",
cross_domain,iot,cic,lstm,fixed_fpr,0.937249,0.0,0.0,0.0149,observed_true_zero,observed_row,Recall=0.0000 at threshold 0.9372; no attacks detected; true zero performance,
